B,1550,9700,Lizard-Man,f,1000
t,100,10700,images/enemies/unique/birdy.png,f,-10
t,200,10700,images/enemies/unique/birdy.png,f,-10
t,300,10700,images/enemies/unique/birdy.png,f,-10
t,400,10700,images/enemies/unique/birdy.png,f,-10
t,500,10700,images/enemies/unique/birdy.png,f,-10
t,600,10700,images/enemies/unique/birdy.png,f,-10
t,700,10700,images/enemies/unique/birdy.png,f,-10
t,800,10700,images/enemies/unique/birdy.png,f,-10
t,900,10700,images/enemies/unique/birdy.png,f,-10
t,1000,10700,images/enemies/unique/birdy.png,f,-10
t,1100,10700,images/enemies/unique/birdy.png,f,-10
t,1200,10700,images/enemies/unique/birdy.png,f,-10
t,1300,10700,images/enemies/unique/birdy.png,f,-10
t,1400,10700,images/enemies/unique/birdy.png,f,-10
t,1500,10700,images/enemies/unique/birdy.png,f,-10
t,1600,10700,images/enemies/unique/birdy.png,f,-10
t,1700,10700,images/enemies/unique/birdy.png,f,-10
t,1800,10700,images/enemies/unique/birdy.png,f,-10
t,1900,10700,images/enemies/unique/birdy.png,f,-10
t,2000,10700,images/enemies/unique/birdy.png,f,-10
t,2100,10700,images/enemies/unique/birdy.png,f,-10
t,2200,10700,images/enemies/unique/birdy.png,f,-10
t,2300,10700,images/enemies/unique/birdy.png,f,-10
t,2400,10700,images/enemies/unique/birdy.png,f,-10
t,2500,10700,images/enemies/unique/birdy.png,f,-10
t,2600,10700,images/enemies/unique/birdy.png,f,-10
t,2700,10700,images/enemies/unique/birdy.png,f,-10
t,2800,10700,images/enemies/unique/birdy.png,f,-10
t,2900,10700,images/enemies/unique/birdy.png,f,-10
t,3000,10700,images/enemies/unique/birdy.png,f,-10
